date,conflict_phase,airline,iata_code,origin,destination,original_distance_km,price,estimated_passengers,route_revenue_usd,fuel_pct_of_cost
2019-01,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,439.05,231,101420.55,97.02
2019-02,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,489.18,259,126697.62,97.27
2019-03,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,454.98,220,100095.6,97.11
2019-04,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,430.49,263,113218.87,96.97
2019-05,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,427.95,283,121109.85,96.96
2019-06,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,429.95,283,121675.85,96.97
2019-07,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,415.2,219,90928.8,96.88
2019-08,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,477.83,267,127580.61,97.22
2019-09,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,447.44,259,115886.96,97.07
2019-10,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,455.67,270,123030.9,97.11
2019-11,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,407.3,234,95308.2,96.83
2019-12,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,449.32,240,107836.8,97.08
2020-01,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,444.6,235,104481,97.05
2020-02,Pre-Pandemic Baseline,Emirates,EK,Dubai,London,5500,402.9,267,107574.3,96.8
2020-03,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,126.22,270,34079.4,91.39
2020-04,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,122.75,228,27987,91.18
2020-05,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,135.89,252,34244.28,91.92
2020-06,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,308.28,219,67513.32,95.99
2020-07,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,279.99,210,58797.9,95.65
2020-08,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,270.21,255,68903.55,95.52
2020-09,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,313.2,273,85503.6,96.05
2020-10,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,250.5,277,69388.5,95.22
2020-11,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,261.55,256,66956.8,95.39
2020-12,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,274.57,270,74133.9,95.58
2021-01,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,518.24,240,124377.6,97.4
2021-02,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,629.67,275,173159.25,97.78
2021-03,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,502.32,268,134621.76,97.33
2021-04,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,555.85,233,129513.05,97.54
2021-05,COVID-19 Collapse,Emirates,EK,Dubai,London,5500,585.57,254,148734.78,97.64
2021-06,Recovery & Surge,Emirates,EK,Dubai,London,5500,472.11,213,100559.43,97.19
2021-07,Recovery & Surge,Emirates,EK,Dubai,London,5500,548.49,220,120667.8,97.51
2021-08,Recovery & Surge,Emirates,EK,Dubai,London,5500,500.74,280,140207.2,97.32
2021-09,Recovery & Surge,Emirates,EK,Dubai,London,5500,463.38,210,97309.8,97.15
2021-10,Recovery & Surge,Emirates,EK,Dubai,London,5500,656.61,225,147737.25,97.85
2021-11,Recovery & Surge,Emirates,EK,Dubai,London,5500,666.24,220,146572.8,97.87
2021-12,Recovery & Surge,Emirates,EK,Dubai,London,5500,595.77,262,156091.74,97.68
2022-01,Recovery & Surge,Emirates,EK,Dubai,London,5500,487.18,217,105718.06,97.26
2022-02,Recovery & Surge,Emirates,EK,Dubai,London,5500,454.84,211,95971.24,97.1
2022-03,Ukraine War Shock,Emirates,EK,Dubai,London,5500,922.59,279,257402.61,98.35
2022-04,Ukraine War Shock,Emirates,EK,Dubai,London,5500,879.03,0,0,98.29
2022-05,Ukraine War Shock,Emirates,EK,Dubai,London,5500,777.45,236,183478.2,98.12
2022-06,Ukraine War Shock,Emirates,EK,Dubai,London,5500,821.44,217,178252.48,98.2
2022-07,Ukraine War Shock,Emirates,EK,Dubai,London,5500,582.35,260,151411,97.63
2022-08,Ukraine War Shock,Emirates,EK,Dubai,London,5500,733.99,276,202581.24,98.03
2022-09,Ukraine War Shock,Emirates,EK,Dubai,London,5500,603.38,283,170756.54,97.7
2022-10,Ukraine War Shock,Emirates,EK,Dubai,London,5500,666.78,219,146024.82,97.88
2022-11,Ukraine War Shock,Emirates,EK,Dubai,London,5500,620.07,255,158117.85,97.75
2022-12,Ukraine War Shock,Emirates,EK,Dubai,London,5500,699.78,0,0,97.95
2023-01,Stabilisation,Emirates,EK,Dubai,London,5500,602.18,221,133081.78,97.7
2023-02,Stabilisation,Emirates,EK,Dubai,London,5500,560.64,270,151372.8,97.56
2023-03,Stabilisation,Emirates,EK,Dubai,London,5500,692.85,268,185683.8,97.94
2023-04,Stabilisation,Emirates,EK,Dubai,London,5500,639.02,282,180203.64,97.8
2023-05,Stabilisation,Emirates,EK,Dubai,London,5500,707.38,216,152794.08,97.97
2023-06,Stabilisation,Emirates,EK,Dubai,London,5500,699.38,227,158759.26,97.95
2023-07,Stabilisation,Emirates,EK,Dubai,London,5500,605.12,272,164592.64,97.7
2023-08,Stabilisation,Emirates,EK,Dubai,London,5500,670.67,239,160290.13,97.88
2023-09,Stabilisation,Emirates,EK,Dubai,London,5500,534.29,245,130901.05,97.46
2023-10,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,548.78,255,139938.9,97.52
2023-11,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,513.69,240,123285.6,97.38
2023-12,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,586.91,212,124424.92,97.65
2024-01,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,616.49,255,157204.95,97.74
2024-02,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,570.87,227,129587.49,97.59
2024-03,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,667.94,282,188359.08,97.88
2024-04,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,637.56,261,166403.16,97.8
2024-05,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,583.92,273,159410.16,97.64
2024-06,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,616.04,281,173107.24,97.74
2024-07,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,578.54,214,123807.56,97.62
2024-08,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,714.84,221,157979.64,97.99
2024-09,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,554.22,270,149639.4,97.54
2024-10,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,721.6,276,199161.6,98
2024-11,Gaza-Israel Conflict,Emirates,EK,Dubai,London,5500,693.79,210,145695.9,97.94
2024-12,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,571.84,280,160115.2,97.6
2025-01,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,635.73,244,155118.12,97.79
2025-02,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,782.26,244,190871.44,98.13
2025-03,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,780.46,275,214626.5,98.12
2025-04,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,785.54,231,181459.74,98.13
2025-05,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,786.69,253,199032.57,98.13
2025-06,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,607.91,235,142858.85,97.71
2025-07,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,719.21,218,156787.78,98
2025-08,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,631.51,236,149036.36,97.78
2025-09,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,777.03,222,172500.66,98.12
2025-10,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,714.84,249,177995.16,97.99
2025-11,Pre-Iran Escalation,Emirates,EK,Dubai,London,5500,695.28,249,173124.72,97.94
2025-12,US-Iran War Conflict,Emirates,EK,Dubai,London,5500,996.71,0,0,98.65
2026-01,US-Iran War Conflict,Emirates,EK,Dubai,London,5500,1011.22,217,219434.74,98.6
2026-02,US-Iran War Conflict,Emirates,EK,Dubai,London,5500,1283.44,0,0,98.87
2026-03,US-Iran War Conflict,Emirates,EK,Dubai,London,5500,1359.51,0,0,98.91
2019-01,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,878.1,245,215134.5,96.76
2019-02,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,978.35,223,218172.05,97.03
2019-03,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,909.95,229,208378.55,96.85
2019-04,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,860.99,236,203193.64,96.7
2019-05,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,855.9,212,181450.8,96.69
2019-06,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,859.88,226,194332.88,96.7
2019-07,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,830.42,268,222552.56,96.6
2019-08,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,955.65,235,224577.75,96.97
2019-09,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,894.9,223,199562.7,96.81
2019-10,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,911.35,224,204142.4,96.85
2019-11,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,814.62,283,230537.46,96.55
2019-12,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,898.66,221,198603.86,96.82
2020-01,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,889.2,277,246308.4,96.79
2020-02,Pre-Pandemic Baseline,Emirates,EK,Dubai,New York,11000,805.8,216,174052.8,96.52
2020-03,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,252.45,275,69423.75,90.68
2020-04,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,245.49,248,60881.52,90.45
2020-05,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,271.77,255,69301.35,91.25
2020-06,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,616.56,228,140575.68,95.65
2020-07,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,560,277,155120,95.28
2020-08,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,540.43,254,137269.22,95.13
2020-09,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,626.39,260,162861.4,95.7
2020-10,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,500.98,251,125745.98,94.81
2020-11,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,523.1,219,114558.9,95
2020-12,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,549.13,272,149363.36,95.2
2021-01,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,1036.47,223,231132.81,97.17
2021-02,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,1259.36,231,290912.16,97.58
2021-03,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,1004.65,260,261209,97.1
2021-04,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,1111.7,216,240127.2,97.32
2021-05,COVID-19 Collapse,Emirates,EK,Dubai,New York,11000,1171.13,280,327916.4,97.43
2021-06,Recovery & Surge,Emirates,EK,Dubai,New York,11000,944.2,219,206779.8,96.94
2021-07,Recovery & Surge,Emirates,EK,Dubai,New York,11000,1096.97,260,285212.2,97.29
2021-08,Recovery & Surge,Emirates,EK,Dubai,New York,11000,1001.5,257,257385.5,97.09
2021-09,Recovery & Surge,Emirates,EK,Dubai,New York,11000,926.76,262,242811.12,96.9
2021-10,Recovery & Surge,Emirates,EK,Dubai,New York,11000,1313.22,242,317799.24,97.66
2021-11,Recovery & Surge,Emirates,EK,Dubai,New York,11000,1332.46,238,317125.48,97.68
2021-12,Recovery & Surge,Emirates,EK,Dubai,New York,11000,1191.54,283,337205.82,97.47
2022-01,Recovery & Surge,Emirates,EK,Dubai,New York,11000,974.38,271,264056.98,97.02
2022-02,Recovery & Surge,Emirates,EK,Dubai,New York,11000,909.68,246,223781.28,96.85
2022-03,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1845.17,223,411472.91,98.2
2022-04,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1758.07,276,485227.32,98.14
2022-05,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1554.88,258,401159.04,97.95
2022-06,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1642.87,220,361431.4,98.04
2022-07,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1164.7,223,259728.1,97.42
2022-08,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1467.99,0,0,97.86
2022-09,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1206.78,247,298074.66,97.49
2022-10,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1333.55,240,320052,97.69
2022-11,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1240.13,242,300111.46,97.55
2022-12,Ukraine War Shock,Emirates,EK,Dubai,New York,11000,1399.55,222,310700.1,97.77
2023-01,Stabilisation,Emirates,EK,Dubai,New York,11000,1204.35,229,275796.15,97.49
2023-02,Stabilisation,Emirates,EK,Dubai,New York,11000,1121.3,246,275839.8,97.34
2023-03,Stabilisation,Emirates,EK,Dubai,New York,11000,1385.68,214,296535.52,97.76
2023-04,Stabilisation,Emirates,EK,Dubai,New York,11000,1278.05,236,301619.8,97.61
2023-05,Stabilisation,Emirates,EK,Dubai,New York,11000,1414.74,225,318316.5,97.79
2023-06,Stabilisation,Emirates,EK,Dubai,New York,11000,1398.77,223,311925.71,97.77
2023-07,Stabilisation,Emirates,EK,Dubai,New York,11000,1210.25,220,266255,97.5
2023-08,Stabilisation,Emirates,EK,Dubai,New York,11000,1341.35,220,295097,97.7
2023-09,Stabilisation,Emirates,EK,Dubai,New York,11000,1068.57,222,237222.54,97.24
2023-10,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1097.56,238,261219.28,97.3
2023-11,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1027.38,217,222941.46,97.15
2023-12,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1173.83,277,325150.91,97.44
2024-01,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1232.98,247,304546.06,97.54
2024-02,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1141.75,247,282012.25,97.38
2024-03,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1335.89,225,300575.25,97.69
2024-04,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1275.13,275,350660.75,97.6
2024-05,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1167.85,272,317655.2,97.43
2024-06,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1232.06,212,261196.72,97.54
2024-07,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1157.09,264,305471.76,97.41
2024-08,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1429.67,223,318816.41,97.81
2024-09,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1108.45,251,278220.95,97.32
2024-10,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1443.21,275,396882.75,97.83
2024-11,Gaza-Israel Conflict,Emirates,EK,Dubai,New York,11000,1387.57,280,388519.6,97.76
2024-12,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1143.68,223,255040.64,97.38
2025-01,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1271.46,280,356008.8,97.6
2025-02,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1564.53,215,336373.95,97.96
2025-03,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1560.92,278,433935.76,97.96
2025-04,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1571.07,267,419475.69,97.97
2025-05,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1573.37,278,437396.86,97.97
2025-06,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1215.84,237,288154.08,97.51
2025-07,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1438.42,280,402757.6,97.82
2025-08,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1263.03,271,342281.13,97.58
2025-09,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1554.07,234,363652.38,97.95
2025-10,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1429.67,235,335972.45,97.81
2025-11,Pre-Iran Escalation,Emirates,EK,Dubai,New York,11000,1390.56,236,328172.16,97.76
2025-12,US-Iran War Conflict,Emirates,EK,Dubai,New York,11000,1993.41,223,444530.43,98.56
2026-01,US-Iran War Conflict,Emirates,EK,Dubai,New York,11000,2022.43,0,0,98.55
2026-02,US-Iran War Conflict,Emirates,EK,Dubai,New York,11000,2566.88,0,0,98.81
2026-03,US-Iran War Conflict,Emirates,EK,Dubai,New York,11000,2719.01,0,0,98.92
2019-01,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,466.6,229,106851.4,96.56
2019-02,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,519.86,234,121647.24,96.85
2019-03,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,483.52,215,103956.8,96.66
2019-04,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,457.5,229,104767.5,96.5
2019-05,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,454.79,263,119609.77,96.49
2019-06,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,456.92,223,101893.16,96.5
2019-07,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,441.25,220,97075,96.4
2019-08,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,507.8,273,138629.4,96.79
2019-09,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,475.52,227,107943.04,96.61
2019-10,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,484.26,228,110411.28,96.66
2019-11,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,432.86,244,105617.84,96.34
2019-12,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,477.52,245,116992.4,96.62
2020-01,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,472.49,223,105365.27,96.6
2020-02,Pre-Pandemic Baseline,Emirates,EK,Dubai,Singapore,5845,428.17,251,107470.67,96.31
2020-03,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,134.15,262,35147.3,90.15
2020-04,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,130.45,246,32090.7,89.92
2020-05,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,144.41,277,40001.57,90.75
2020-06,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,327.62,284,93044.08,95.38
2020-07,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,297.57,249,74094.93,95
2020-08,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,287.17,282,80981.94,94.84
2020-09,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,332.84,258,85872.72,95.45
2020-10,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,266.2,249,66283.8,94.5
2020-11,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,277.96,275,76439,94.7
2020-12,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,291.79,282,82284.78,94.91
2021-01,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,550.75,284,156413,97
2021-02,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,669.17,266,177999.22,97.43
2021-03,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,533.84,246,131324.64,96.92
2021-04,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,590.72,232,137047.04,97.16
2021-05,COVID-19 Collapse,Emirates,EK,Dubai,Singapore,5845,622.3,251,156197.3,97.28
2021-06,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,501.72,268,134460.96,96.76
2021-07,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,582.89,212,123572.68,97.13
2021-08,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,532.15,230,122394.5,96.91
2021-09,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,492.44,236,116215.84,96.71
2021-10,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,697.79,268,187007.72,97.51
2021-11,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,708.03,256,181255.68,97.54
2021-12,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,633.14,241,152586.74,97.31
2022-01,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,517.74,278,143931.72,96.84
2022-02,Recovery & Surge,Emirates,EK,Dubai,Singapore,5845,483.36,250,120840,96.66
2022-03,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,980.46,264,258841.44,98.09
2022-04,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,934.17,259,241950.03,98.02
2022-05,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,826.2,274,226378.8,97.82
2022-06,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,872.96,270,235699.2,97.92
2022-07,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,618.88,284,175761.92,97.27
2022-08,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,780.04,238,185649.52,97.72
2022-09,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,641.23,222,142353.06,97.34
2022-10,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,708.6,266,188487.6,97.54
2022-11,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,658.97,275,181216.75,97.4
2022-12,Ukraine War Shock,Emirates,EK,Dubai,Singapore,5845,743.67,214,159145.38,97.64
2023-01,Stabilisation,Emirates,EK,Dubai,Singapore,5845,639.95,234,149748.3,97.34
2023-02,Stabilisation,Emirates,EK,Dubai,Singapore,5845,595.82,270,160871.4,97.18
2023-03,Stabilisation,Emirates,EK,Dubai,Singapore,5845,736.3,261,192174.3,97.62
